,movie_and_date,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,index,tconst,primary_title,original_title,start_year,runtime_minutes,genres,profit,profit_ratio,profit_lmh
1033,Avengers: Age of Ultron_2015,4,2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,2015,39010,tt2395427,Avengers: Age of Ultron,Avengers: Age of Ultron,2015,141.0,"Action,Adventure,Sci-Fi",1072413963,4.243841388384755,high
1034,The Croods_2013,26,2013-03-22,The Croods,135000000,187168425,573068425,2013,199,tt0481499,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",438068425,4.244951296296296,high
1035,Moana_2016,62,2016-11-23,Moana,150000000,248757044,637517365,2016,60930,tt3521164,Moana,Moana,2016,107.0,"Adventure,Animation,Comedy",487517365,4.250115766666666,high
1036,Suicide Squad_2016,100,2016-08-05,Suicide Squad,175000000,325100054,746059887,2016,7163,tt1386697,Suicide Squad,Suicide Squad,2016,123.0,"Action,Adventure,Fantasy",571059887,4.263199354285715,high
1037,Puss in Boots_2011,46,2011-10-28,Puss in Boots,130000000,149260504,554987477,2011,126,tt0448694,Puss in Boots,Puss in Boots,2011,90.0,"Action,Adventure,Animation",424987477,4.269134438461538,high
1038,Shazam!_2019,97,2019-04-05,Shazam!,85000000,139606856,362899733,2019,125,tt0448115,Shazam!,Shazam!,2019,132.0,"Action,Adventure,Comedy",277899733,4.2694086235294115,high
1039,Creed II_2018,96,2018-11-21,Creed II,50000000,115715889,213591522,2018,108147,tt6343314,Creed II,Creed II,2018,130.0,"Drama,Sport",163591522,4.27183044,high
1040,The Best Man Holiday_2013,73,2013-11-15,The Best Man Holiday,17000000,70525195,72835710,2013,27641,tt2083355,The Best Man Holiday,The Best Man Holiday,2013,123.0,"Comedy,Drama",55835710,4.284453529411764,high
1041,The Hundred-Foot Journey_2014,13,2014-08-08,The Hundred-Foot Journey,22000000,54235441,94270488,2014,50251,tt2980648,The Hundred-Foot Journey,The Hundred-Foot Journey,2014,122.0,"Comedy,Drama",72270488,4.2850221818181815,high
1042,Sherlock Holmes: A Game of Shadows_2011,69,2011-12-16,Sherlock Holmes: A Game of Shadows,125000000,186848418,535663443,2011,8543,tt1515091,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,129.0,"Action,Adventure,Crime",410663443,4.285307544,high
